epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
38,0.5716,0.7267,0.731,0.9721,0.8345,0.6552,0.1291,0.2157,0.5251,0.4799,0.8127,0.5514,0.604,0.8834,0.9044,0.8938,0.229,0.1923,0.2091,,,,,,,,,,,,,,
39,0.5781,0.7144,0.7284,0.952,0.8254,0.5376,0.1359,0.2169,0.5211,0.4741,0.8366,0.5676,0.5941,0.8858,0.9328,0.9087,0.29,0.1859,0.2266,,,,,,,,,,,,,,
40,0.5742,0.7263,0.7331,0.9654,0.8333,0.631,0.144,0.2345,0.5339,0.4492,0.8465,0.5425,0.6115,0.8802,0.9536,0.9155,0.2794,0.1218,0.1696,,,,,,,,,,,,,,
41,0.5746,0.7148,0.7278,0.9548,0.826,0.5424,0.1304,0.2103,0.5181,0.4644,0.8408,0.5521,0.6004,0.8822,0.9432,0.9117,0.2771,0.1474,0.1925,,,,,,,,,,,,,,
42,0.5757,0.7203,0.7306,0.9593,0.8294,0.5829,0.1386,0.2239,0.5267,0.4451,0.849,0.5407,0.6002,0.8799,0.9574,0.917,0.2857,0.1154,0.1644,,,,,,,,,,,,,,
43,0.5751,0.718,0.7277,0.9621,0.8286,0.5723,0.1236,0.2034,0.516,0.4364,0.8531,0.532,0.5997,0.8784,0.965,0.9197,0.2885,0.0962,0.1442,,,,,,,,,,,,,,
44,0.5749,0.7148,0.727,0.957,0.8263,0.5444,0.125,0.2033,0.5148,0.4752,0.8474,0.5706,0.5944,0.8857,0.947,0.9153,0.3253,0.1731,0.2259,,,,,,,,,,,,,,
45,0.5758,0.7203,0.7308,0.9587,0.8294,0.5819,0.1399,0.2256,0.5275,0.4262,0.8573,0.4988,0.5936,0.8738,0.9773,0.9227,0.2258,0.0449,0.0749,,,,,,,,,,,,,,
46,0.5711,0.7223,0.7294,0.9671,0.8316,0.6118,0.1264,0.2095,0.5205,0.4627,0.8416,0.5625,0.5962,0.8843,0.9413,0.9119,0.2955,0.1667,0.2131,,,,,,,,,,,,,,
47,0.5704,0.7235,0.7334,0.9581,0.8309,0.5989,0.1522,0.2427,0.5368,0.4357,0.8589,0.5187,0.5891,0.8766,0.9754,0.9234,0.2973,0.0705,0.114,,,,,,,,,,,,,,
48,0.5691,0.7223,0.7307,0.9632,0.831,0.6024,0.1359,0.2217,0.5264,0.4745,0.8325,0.5424,0.6045,0.8805,0.9347,0.9068,0.2418,0.141,0.1781,,,,,,,,,,,,,,
49,0.5709,0.7251,0.7329,0.9632,0.8324,0.6185,0.1454,0.2354,0.5339,0.4445,0.8548,0.5248,0.5844,0.8774,0.9688,0.9208,0.2826,0.0833,0.1287,,,,,,,,,,,,,,
50,0.5736,0.7168,0.728,0.9587,0.8276,0.5595,0.1277,0.208,0.5178,0.4696,0.8383,0.5598,0.5988,0.8839,0.9375,0.9099,0.2826,0.1667,0.2097,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,0.5273,0.7772,0.5964,0.8676,0.8744,0.871,0.1899,0.1807,0.1852,0.5281,"{0: 891, 1: 30}","{0: 128, 1: 136}","{0: 136, 1: 128}","{0: 30, 1: 891}"
